ShipCountry,Total_Revenue,Num_Orders,Avg_Freight,Total_Freight_Cost
USA,263566.9800,122,131.15289773,46165.8200
Germany,244640.6300,122,116.37423780,38170.7500
Austria,139496.6300,40,221.85152000,27731.4400
Brazil,114968.4800,83,71.83733990,14582.9800
France,85498.7600,77,68.62271739,12626.5800
Venezuela,60814.8900,46,66.71559322,7872.4400
UK,60616.5100,56,62.89281481,8490.5300
Sweden,59523.7000,37,104.59917526,10146.1200
Ireland,57317.3900,19,131.17254545,7214.4900
Canada,55334.1000,30,84.29200000,6321.9000
